Price,Close,High,Low,Open,Volume
Ticker,F,F,F,F,F
Date,,,,,
2010-07-09,5.994076251983643,6.043796255848963,5.82281670470262,5.844914659817254,50732700
2010-07-12,6.132188320159912,6.148761654016815,5.983026734877426,5.988551355115322,56354100
2010-07-13,6.4415602684021,6.524427999002037,6.220580707182595,6.336595108537043,103923200
2010-07-14,6.524425029754639,6.585194249719893,6.375263498671841,6.419459390802316,68051400
2010-07-15,6.552050590515137,6.574148548463403,6.358693590182022,6.552050590515136,66020400
2010-07-16,6.264776229858398,6.5078537320843495,6.242678275110585,6.49128039773769,68905500
2010-07-19,6.34212064743042,6.391841191747476,6.20400825848613,6.320022686273611,49910000
2010-07-20,6.491281986236572,6.4968066079896705,6.215057220864804,6.242679802773366,53134900
2010-07-21,6.380792617797852,6.563100933147194,6.314498732839634,6.529953727239602,67645100
2010-07-22,6.67911434173584,6.750932837834352,6.491281432994638,6.496806054276882,102031500
2010-07-23,7.027155876159668,7.043729209131851,6.822749679980221,6.933239444556036,161608200
2010-07-26,7.1486968994140625,7.264711325245568,7.043731717403149,7.082403017061336,125770900
2010-07-27,7.198417663574219,7.2812854141983046,7.09897710042506,7.2702361700389755,97305400
2010-07-28,7.132122039794922,7.226038484816872,7.104499462990201,7.176317951939741,59746700
2010-07-29,7.16526985168457,7.2426124411409685,7.027157482675999,7.198416525206776,88510100
2010-07-30,7.054780960083008,7.18736872476702,6.949815251232123,7.076878920863676,79512400
2010-08-02,7.270237445831299,7.2923354111707805,7.148698373035621,7.214992795911119,77124700
2010-08-03,7.132122039794922,7.314430309106512,7.054779456969902,7.226038484816872,115202600
2010-08-04,7.242610931396484,7.297856078226643,7.1542191179536445,7.181841691368724,60875000
2010-08-05,7.170793056488037,7.209464873275826,7.126597146036401,7.209464873275826,51574800
2010-08-06,7.203940391540527,7.209465012167618,7.071352657631291,7.08792599265574,54704600
2010-08-09,7.209464073181152,7.248135358820455,7.137645594953341,7.248135358820455,39072000
2010-08-10,7.137646675109863,7.1984159227189375,7.07135280675719,7.148695389740225,50265100
2010-08-11,6.855897426605225,6.999534406623357,6.811701513808391,6.988485164995728,68132100
2010-08-12,6.778555393218994,6.8448492677988835,6.574148621359897,6.645967117202332,68017900
2010-08-13,6.7122602462768555,6.833799266269549,6.701211531835787,6.767505399052667,41635500
2010-08-16,6.623867511749268,6.712259322540693,6.56309827354435,6.607294178940063,59316100
2010-08-17,6.717782974243164,6.839321959993201,6.66253836388891,6.7398809237562,61043500
2010-08-18,6.739883899688721,6.7896044397608595,6.51890430698689,6.72331056195031,54218100
2010-08-19,6.568626403808594,6.739885497026303,6.535479193619052,6.701214190852697,61059000
2010-08-20,6.5023274421691895,6.574145375698162,6.4084110345000775,6.546523336736229,50806600
2010-08-23,6.413935661315918,6.5741459242025,6.40841156917661,6.540999263939988,42449600
2010-08-24,6.209532737731934,6.3476451235010085,6.126665517013265,6.231630698380708,86299200
2010-08-25,6.25372838973999,6.2979243091344355,6.0493221308264555,6.099042671859435,78571900
2010-08-26,6.170861721038818,6.386317242378517,6.154288381507139,6.29792486887664,56953100
2010-08-27,6.386313438415527,6.474705232410485,6.10456419991411,6.220578561246655,63565200
2010-08-30,6.270301342010498,6.452609614691762,6.270301342010498,6.397364460061204,33651500
2010-08-31,6.237154960632324,6.331071419688771,6.148763123133765,6.22610624437346,64984700
2010-09-01,6.413935661315918,6.568621832063192,6.331068483802973,6.3697397630614585,81988800
2010-09-02,6.469183921813965,6.535477801211866,6.391840799087954,6.45261058367872,39943600
2010-09-03,6.668062686920166,6.706734495048997,6.540999604536458,6.56309755481435,65243900
2010-09-07,6.518903732299805,6.6680648125097175,6.5078544902103275,6.634918139955008,42497600
2010-09-08,6.518903732299805,6.601770940543438,6.463658575566141,6.524428353344542,40798700
2010-09-09,6.491281986236572,6.6514923290779215,6.430512727523277,6.6072964087669925,48528500
2010-09-10,6.51338005065918,6.623869853205239,6.4912820901499675,6.524429294342254,37849800
2010-09-13,6.623867511749268,6.629392131637919,6.541000320846494,6.590720846130859,36689700
2010-09-14,6.618344783782959,6.657016607201513,6.568624771142366,6.607296067704017,39772300
2010-09-15,6.55757474899292,6.6072952825822995,6.496805500637479,6.590721947004786,54102700
2010-09-16,6.872472763061523,6.922193311147956,6.684640342417319,6.695689060404864,141408500
2010-09-17,6.900092601776123,6.927715176035478,6.8172254058548445,6.92219055581225,68954600
2010-09-20,6.944289684295654,6.960863547768377,6.8393245165861005,6.933240968837377,49812800
2010-09-21,6.93324089050293,7.043730678121701,6.911142932979176,6.92219164831262,59130900
2010-09-22,6.839327812194824,6.927719685881167,6.789607251531975,6.866950404436088,53139300
2010-09-23,6.800652503967285,6.877995084577545,6.712260155351991,6.773029927953557,46866400
2010-09-24,6.938764572143555,6.944288665633924,6.844848133668934,6.861421467853634,42647800
2010-09-27,6.894568920135498,6.960863318125557,6.883520205041725,6.944289455199615,28799700
2010-09-28,6.91666841506958,6.922192509995515,6.778556031639503,6.894569927938113,42671500
2010-09-29,6.811699390411377,6.905615807542488,6.7840768218098715,6.8779932389409835,45211800
2010-09-30,6.761980056762695,6.883519063784701,6.739882103382038,6.8724698236659885,42679600
2010-10-01,6.773029327392578,6.855896521229155,6.695686226783474,6.76198008722409,54565500
2010-10-04,7.093450546264648,7.137646457150169,6.922190996440644,6.944288951883405,95949200
